Name of College,Branch,Category,Exam name,Marks
College of Engineering Pune (COEP),Computer Engineering,OPEN,MHT-CET,99.77
College of Engineering Pune (COEP),Computer Engineering,OBC,MHT-CET,99.25
College of Engineering Pune (COEP),Computer Engineering,SC,MHT-CET,96.1
College of Engineering Pune (COEP),Computer Engineering,ST,MHT-CET,92.3
College of Engineering Pune (COEP),Computer Engineering,NT,MHT-CET,95.8
College of Engineering Pune (COEP),Mechanical Engineering,OPEN,MHT-CET,98.8
College of Engineering Pune (COEP),Mechanical Engineering,OBC,MHT-CET,97.8
College of Engineering Pune (COEP),Mechanical Engineering,SC,MHT-CET,91.7
College of Engineering Pune (COEP),Mechanical Engineering,ST,MHT-CET,88.2
College of Engineering Pune (COEP),Mechanical Engineering,NT,MHT-CET,91.5
College of Engineering Pune (COEP),Electronics and Telecommunication ,OPEN,MHT-CET,98.7
College of Engineering Pune (COEP),Electronics and Telecommunication ,OBC,MHT-CET,97.6
College of Engineering Pune (COEP),Electronics and Telecommunication ,SC,MHT-CET,91.6
College of Engineering Pune (COEP),Electronics and Telecommunication ,ST,MHT-CET,87.6
College of Engineering Pune (COEP),Electronics and Telecommunication ,NT,MHT-CET,90.8
College of Engineering Pune (COEP),Civil Engineering,OPEN,MHT-CET,97.85
College of Engineering Pune (COEP),Civil Engineering,OBC,MHT-CET,96.8
College of Engineering Pune (COEP),Civil Engineering,SC,MHT-CET,91.1
College of Engineering Pune (COEP),Civil Engineering,ST,MHT-CET,84.9
College of Engineering Pune (COEP),Civil Engineering,NT,MHT-CET,90.5
College of Engineering Pune (COEP),Electronics Engineering,OPEN,MHT-CET,98.5
College of Engineering Pune (COEP),Electronics Engineering,OBC,MHT-CET,97.3
College of Engineering Pune (COEP),Electronics Engineering,SC,MHT-CET,91.2
College of Engineering Pune (COEP),Electronics Engineering,ST,MHT-CET,86.9
College of Engineering Pune (COEP),Electronics Engineering,NT,MHT-CET,90.5
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Computer Engineering,OPEN,MHT CET,99.7
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Computer Engineering,OBC,MHT CET,99.5
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Computer Engineering,SC,MHT CET,98.6
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Computer Engineering,ST,MHT CET,94.4
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Computer Engineering,NT,MHT CET,98.8
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Mechanical Engineering,OPEN,MHT CET,98.2
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Mechanical Engineering,OBC,MHT CET,97.8
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Mechanical Engineering,SC,MHT CET,94.8
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Mechanical Engineering,ST,MHT CET,65.1
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Mechanical Engineering,NT,MHT CET,95
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics and Telecommunication ,OPEN,MHT CET,99.3
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics and Telecommunication ,OBC,MHT CET,98.9
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics and Telecommunication ,SC,MHT CET,96.8
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics and Telecommunication ,ST,MHT CET,87.9
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics and Telecommunication ,NT,MHT CET,97.5
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics Engineering,OPEN,MHT CET,99
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics Engineering,OBC,MHT CET,98.7
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics Engineering,SC,MHT CET,95.6
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics Engineering,ST,MHT CET,79.5
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Electronics Engineering,NT,MHT CET,95
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Civil Engineering,OPEN,MHT CET,94.39
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Civil Engineering,OBC,MHT CET,95.2
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Civil Engineering,SC,MHT CET,93.6
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Civil Engineering,ST,MHT CET,75.5
"Veermata Jijabai Technological Institute (VJTI), Mumbai",Civil Engineering,NT,MHT CET,93
"Vishwakarma Institute of Technology, Pune",Computer Engineering,OPEN,MHT CET,96.8
"Vishwakarma Institute of Technology, Pune",Computer Engineering,OBC,MHT CET,93.5
"Vishwakarma Institute of Technology, Pune",Computer Engineering,SC,MHT CET,87.5
"Vishwakarma Institute of Technology, Pune",Computer Engineering,ST,MHT CET,81
"Vishwakarma Institute of Technology, Pune",Computer Engineering,NT,MHT CET,92
"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,OPEN,MHT CET,93.5
"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,OBC,MHT CET,89.5
"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,SC,MHT CET,83
"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,ST,MHT CET,77
"Vishwakarma Institute of Technology, Pune",Mechanical Engineering,NT,MHT CET,89
"Vishwakarma Institute of Technology, Pune",Electronics and Telecommunication,OPEN,MHT CET,94.5
"Vishwakarma Institute of Technology, Pune",Electronics and Telecommunication,OBC,MHT CET,90
"Vishwakarma Institute of Technology, Pune",Electronics and Telecommunication,SC,MHT CET,85.5
"Vishwakarma Institute of Technology, Pune",Electronics and Telecommunication,ST,MHT CET,78
"Vishwakarma Institute of Technology, Pune",Electronics and Telecommunication,NT,MHT CET,90
"Vishwakarma Institute of Technology, Pune",Electronics Engineering,OPEN,MHT CET,95.5
"Vishwakarma Institute of Technology, Pune",Electronics Engineering,OBC,MHT CET,91.5
"Vishwakarma Institute of Technology, Pune",Electronics Engineering,SC,MHT CET,84.5
"Vishwakarma Institute of Technology, Pune",Electronics Engineering,ST,MHT CET,77
"Vishwakarma Institute of Technology, Pune",Electronics Engineering,NT,MHT CET,89
"Vishwakarma Institute of Technology, Pune",Civil Engineering,OPEN,MHT CET,89
"Vishwakarma Institute of Technology, Pune",Civil Engineering,OBC,MHT CET,84
"Vishwakarma Institute of Technology, Pune",Civil Engineering,SC,MHT CET,79
"Vishwakarma Institute of Technology, Pune",Civil Engineering,ST,MHT CET,72.5
"Vishwakarma Institute of Technology, Pune",Civil Engineering,NT,MHT CET,87.5
DY Patil Institute of Technology Pune,Computer Engineering,OPEN,MHT CET,94.5
DY Patil Institute of Technology Pune,Computer Engineering,OBC,MHT CET,90
DY Patil Institute of Technology Pune,Computer Engineering,SC,MHT CET,82
DY Patil Institute of Technology Pune,Mechanical Engineering,OPEN,MHT CET,92
DY Patil Institute of Technology Pune,Mechanical Engineering,OBC,MHT CET,87
DY Patil Institute of Technology Pune,Mechanical Engineering,SC,MHT CET,77
DY Patil Institute of Technology Pune,Electronics and Telecommunication,OPEN,MHT CET,91
DY Patil Institute of Technology Pune,Electronics and Telecommunication,OBC,MHT CET,85
DY Patil Institute of Technology Pune,Electronics and Telecommunication,SC,MHT CET,72.5
DY Patil Institute of Technology Pune,Civil Engineering,OPEN,MHT CET,90
DY Patil Institute of Technology Pune,Civil Engineering,OBC,MHT CET,82.5
DY Patil Institute of Technology Pune,Civil Engineering,SC,MHT CET,67
DY Patil Institute of Technology Pune,Electronics Engineering,OPEN,MHT CET,90
DY Patil Institute of Technology Pune,Electronics Engineering,OBC,MHT CET,84.5
DY Patil Institute of Technology Pune,Electronics Engineering,SC,MHT CET,72
"Sinhgad College of Engineering, Pune",Computer Engineering,OPEN,MHT-CET,94.33
"Sinhgad College of Engineering, Pune",Computer Engineering,OBC,MHT-CET,93.23
"Sinhgad College of Engineering, Pune",Computer Engineering,SC,MHT-CET,88.33
"Sinhgad College of Engineering, Pune",Computer Engineering,ST,MHT-CET,47.82
"Sinhgad College of Engineering, Pune",Computer Engineering,NT,MHT-CET,87.67
"Sinhgad College of Engineering, Pune",Mechanical Engineering,OPEN,MHT-CET,11.34
"Sinhgad College of Engineering, Pune",Mechanical Engineering,OBC,MHT-CET,4.99
"Sinhgad College of Engineering, Pune",Mechanical Engineering,SC,MHT-CET,3.95
"Sinhgad College of Engineering, Pune",Mechanical Engineering,ST,MHT-CET,0.18
"Sinhgad College of Engineering, Pune",Mechanical Engineering,NT,MHT-CET,14.01
"Sinhgad College of Engineering, Pune",Electronics and Telecommunication,OPEN,MHT-CET,81.9
"Sinhgad College of Engineering, Pune",Electronics and Telecommunication,OBC,MHT-CET,80.22
"Sinhgad College of Engineering, Pune",Electronics and Telecommunication,SC,MHT-CET,66.01
"Sinhgad College of Engineering, Pune",Electronics and Telecommunication,ST,MHT-CET,1.74
"Sinhgad College of Engineering, Pune",Electronics and Telecommunication,NT,MHT-CET,25.06
"Sinhgad College of Engineering, Pune",Civil Engineering,OPEN,MHT-CET,33.8
"Sinhgad College of Engineering, Pune",Civil Engineering,OBC,MHT-CET,30.21
"Sinhgad College of Engineering, Pune",Civil Engineering,SC,MHT-CET,4.58
"Sinhgad College of Engineering, Pune",Civil Engineering,ST,MHT-CET,4.38
"Sinhgad College of Engineering, Pune",Civil Engineering,NT,MHT-CET,2.99
"Sinhgad College of Engineering, Pune",Electronics Engineering,OPEN,MHT-CET,94.6
"Sinhgad College of Engineering, Pune",Electronics Engineering,OBC,MHT-CET,93.09
"Sinhgad College of Engineering, Pune",Electronics Engineering,SC,MHT-CET,82.01
"Sinhgad College of Engineering, Pune",Electronics Engineering,ST,MHT-CET,20.37
"Sinhgad College of Engineering, Pune",Electronics Engineering,NT,MHT-CET,90.12
"Symbiosis Institute of Technology (SIT), Pune",Computer Engineering,OPEN,MHT CET,97.9
"Symbiosis Institute of Technology (SIT), Pune",Computer Engineering,OBC,MHT CET,94
"Symbiosis Institute of Technology (SIT), Pune",Computer Engineering,SC,MHT CET,89.8
"Symbiosis Institute of Technology (SIT), Pune",Computer Engineering,ST,MHT CET,79
"Symbiosis Institute of Technology (SIT), Pune",Computer Engineering,NT,MHT CET,91
"Symbiosis Institute of Technology (SIT), Pune",Mechanical Engineering,OPEN,MHT CET,96
"Symbiosis Institute of Technology (SIT), Pune",Mechanical Engineering,OBC,MHT CET,92
"Symbiosis Institute of Technology (SIT), Pune",Mechanical Engineering,SC,MHT CET,87
"Symbiosis Institute of Technology (SIT), Pune",Mechanical Engineering,ST,MHT CET,74
"Symbiosis Institute of Technology (SIT), Pune",Mechanical Engineering,NT,MHT CET,88
"Symbiosis Institute of Technology (SIT), Pune",Electronics and Telecommunication,OPEN,MHT CET,96.2
"Symbiosis Institute of Technology (SIT), Pune",Electronics and Telecommunication,OBC,MHT CET,93
"Symbiosis Institute of Technology (SIT), Pune",Electronics and Telecommunication,SC,MHT CET,84.5
"Symbiosis Institute of Technology (SIT), Pune",Electronics and Telecommunication,ST,MHT CET,69
"Symbiosis Institute of Technology (SIT), Pune",Electronics and Telecommunication,NT,MHT CET,87.5
"Symbiosis Institute of Technology (SIT), Pune",Civil Engineering,OPEN,MHT CET,93.5
"Symbiosis Institute of Technology (SIT), Pune",Civil Engineering,OBC,MHT CET,89
"Symbiosis Institute of Technology (SIT), Pune",Civil Engineering,SC,MHT CET,82
"Symbiosis Institute of Technology (SIT), Pune",Civil Engineering,ST,MHT CET,67
"Symbiosis Institute of Technology (SIT), Pune",Civil Engineering,NT,MHT CET,84
"Symbiosis Institute of Technology (SIT), Pune",Electronics Engineering,OPEN,MHT CET,95.5
"Symbiosis Institute of Technology (SIT), Pune",Electronics Engineering,OBC,MHT CET,92
"Symbiosis Institute of Technology (SIT), Pune",Electronics Engineering,SC,MHT CET,85.5
"Symbiosis Institute of Technology (SIT), Pune",Electronics Engineering,ST,MHT CET,71
"Symbiosis Institute of Technology (SIT), Pune",Electronics Engineering,NT,MHT CET,88.5
"Walchand College of Engineering, Sangli",Computer Engineering,OPEN,MHT CET,98.8
"Walchand College of Engineering, Sangli",Computer Engineering,OBC,MHT CET,98.2
"Walchand College of Engineering, Sangli",Computer Engineering,SC,MHT CET,97.1
"Walchand College of Engineering, Sangli",Computer Engineering,ST,MHT CET,88.8
"Walchand College of Engineering, Sangli",Computer Engineering,NT,MHT CET,97.9
"Walchand College of Engineering, Sangli",Mechanical Engineering,OPEN,MHT CET,96.8
"Walchand College of Engineering, Sangli",Mechanical Engineering,OBC,MHT CET,95
"Walchand College of Engineering, Sangli",Mechanical Engineering,SC,MHT CET,91
"Walchand College of Engineering, Sangli",Mechanical Engineering,ST,MHT CET,57.5
"Walchand College of Engineering, Sangli",Mechanical Engineering,NT,MHT CET,89.8
"Walchand College of Engineering, Sangli",Electronics Engineering,OPEN,MHT CET,98
"Walchand College of Engineering, Sangli",Electronics Engineering,OBC,MHT CET,97.5
"Walchand College of Engineering, Sangli",Electronics Engineering,SC,MHT CET,93.8
"Walchand College of Engineering, Sangli",Electronics Engineering,ST,MHT CET,85.5
"Walchand College of Engineering, Sangli",Electronics Engineering,NT,MHT CET,85.3
"Walchand College of Engineering, Sangli",Civil Engineering,OPEN,MHT CET,94.5
"Walchand College of Engineering, Sangli",Civil Engineering,OBC,MHT CET,93.5
"Walchand College of Engineering, Sangli",Civil Engineering,SC,MHT CET,88.2
"Walchand College of Engineering, Sangli",Civil Engineering,ST,MHT CET,54.5
"Maharashtra Institute of Technology, Aurangabad",Computer Science and Engineering,General,MHT-CET,99.75
"Maharashtra Institute of Technology, Aurangabad",Computer Science and Engineering,OBC,MHT-CET,99.5
"Maharashtra Institute of Technology, Aurangabad",Computer Science and Engineering,SC,MHT-CET,97.25
"Maharashtra Institute of Technology, Aurangabad",Computer Science and Engineering,ST,MHT-CET,95.1
"Maharashtra Institute of Technology, Aurangabad",Information Technology,General,MHT-CET,99.61
"Maharashtra Institute of Technology, Aurangabad",Information Technology,OBC,MHT-CET,99.52
"Maharashtra Institute of Technology, Aurangabad",Information Technology,SC,MHT-CET,96.48
"Maharashtra Institute of Technology, Aurangabad",Information Technology,ST,MHT-CET,91.7
"Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,General,MHT-CET,99.2
"Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,OBC,MHT-CET,98.4
"Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,SC,MHT-CET,93.7
"Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,ST,MHT-CET,90.1
"Maharashtra Institute of Technology, Aurangabad",Civil Engineering,General,MHT-CET,98.9
"Maharashtra Institute of Technology, Aurangabad",Civil Engineering,OBC,MHT-CET,98.1
"Maharashtra Institute of Technology, Aurangabad",Civil Engineering,SC,MHT-CET,92.5
"Maharashtra Institute of Technology, Aurangabad",Civil Engineering,ST,MHT-CET,89.8
"Maharashtra Institute of Technology, Aurangabad",Electrical Engineering,General,MHT-CET,98.7
"Maharashtra Institute of Technology, Aurangabad",Electrical Engineering,OBC,MHT-CET,97.9
"Maharashtra Institute of Technology, Aurangabad",Electrical Engineering,SC,MHT-CET,91.2
"Maharashtra Institute of Technology, Aurangabad",Electrical Engineering,ST,MHT-CET,88.5
"Maharashtra Institute of Technology, Aurangabad",Electronics & Telecommunication,General,MHT-CET,98.6
"Maharashtra Institute of Technology, Aurangabad",Electronics & Telecommunication,OBC,MHT-CET,97.8
"Maharashtra Institute of Technology, Aurangabad",Electronics & Telecommunication,SC,MHT-CET,90.9
"Maharashtra Institute of Technology, Aurangabad",Electronics & Telecommunication,ST,MHT-CET,87.7
"Maharashtra Institute of Technology, Aurangabad",Artificial Intelligence & Data Science,General,MHT-CET,98.5
"Maharashtra Institute of Technology, Aurangabad",Artificial Intelligence & Data Science,OBC,MHT-CET,97.7
"Maharashtra Institute of Technology, Aurangabad",Artificial Intelligence & Data Science,SC,MHT-CET,89.8
"Maharashtra Institute of Technology, Aurangabad",Artificial Intelligence & Data Science,ST,MHT-CET,85.6
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Electronics and Telecommunication,OBC,MHT CET,91.48
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Electronics and Telecommunication,SC,MHT CET,89.69
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Electronics and Telecommunication,ST,MHT CET,46.5
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Electronics and Telecommunication,NT,MHT CET,88.24
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Information Technology,OPEN,MHT CET,96.51
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Information Technology,OBC,MHT CET,97.38
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Information Technology,SC,MHT CET,92.57
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Information Technology,ST,MHT CET,84.76
"Pimpri Chinchwad College of Engineering (PCCOE), Pune",Information Technology,NT,MHT CET,94.96
"G.H. Raisoni College of Engineering, Nagpur",Computer Engineering,OPEN,MHT CET,79.8
"G.H. Raisoni College of Engineering, Nagpur",Computer Engineering,OBC,MHT CET,73.9
"G.H. Raisoni College of Engineering, Nagpur",Computer  Engineering,SC,MHT CET,60.4
"G.H. Raisoni College of Engineering, Nagpur",Computer  Engineering,ST,MHT CET,50.1
"G.H. Raisoni College of Engineering, Nagpur",Mechanical Engineering,OPEN,MHT CET,75.3
"G.H. Raisoni College of Engineering, Nagpur",Mechanical Engineering,OBC,MHT CET,69.2
"G.H. Raisoni College of Engineering, Nagpur",Mechanical Engineering,SC,MHT CET,56.3
"G.H. Raisoni College of Engineering, Nagpur",Mechanical Engineering,ST,MHT CET,47.5
"G.H. Raisoni College of Engineering, Nagpur",Electronics and Telecommunication,OPEN,MHT CET,69.8
"G.H. Raisoni College of Engineering, Nagpur",Electronics and Telecommunication,OBC,MHT CET,65.4
"G.H. Raisoni College of Engineering, Nagpur",Electronics and Telecommunication,SC,MHT CET,51.8
"G.H. Raisoni College of Engineering, Nagpur",Electronics and Telecommunication,ST,MHT CET,43.9
"G.H. Raisoni College of Engineering, Nagpur",Civil Engineering,OPEN,MHT CET,65.2
"G.H. Raisoni College of Engineering, Nagpur",Civil Engineering,OBC,MHT CET,60.3
"G.H. Raisoni College of Engineering, Nagpur",Civil Engineering,SC,MHT CET,48.1
"G.H. Raisoni College of Engineering, Nagpur",Civil Engineering,ST,MHT CET,41.2
"G.H. Raisoni College of Engineering, Nagpur",Electronics Engineering,OPEN,MHT CET,68.6
"G.H. Raisoni College of Engineering, Nagpur",Electronics Engineering,OBC,MHT CET,64.2
"G.H. Raisoni College of Engineering, Nagpur",Electronics Engineering,SC,MHT CET,50.1
"G.H. Raisoni College of Engineering, Nagpur",Electronics Engineering,ST,MHT CET,42.5
"Sardar Patel Institute of Technology (SPIT), Mumbai",Computer Engineering,OPEN,MHT CET,99.08
"Sardar Patel Institute of Technology (SPIT), Mumbai",Computer Engineering,OBC,MHT CET,99.18
"Sardar Patel Institute of Technology (SPIT), Mumbai",Computer Engineering,SC,MHT CET,97.12
"Sardar Patel Institute of Technology (SPIT), Mumbai",Computer Engineering,ST,MHT CET,85.23
"Sardar Patel Institute of Technology (SPIT), Mumbai",Computer Engineering,NT,MHT CET,97.85
"Sardar Patel Institute of Technology (SPIT), Mumbai",Mechanical Engineering,OPEN,MHT CET,99.35
"Sardar Patel Institute of Technology (SPIT), Mumbai",Mechanical Engineering,OBC,MHT CET,99.06
"Sardar Patel Institute of Technology (SPIT), Mumbai",Mechanical Engineering,SC,MHT CET,97.75
"Sardar Patel Institute of Technology (SPIT), Mumbai",Mechanical Engineering,ST,MHT CET,82.4
"Sardar Patel Institute of Technology (SPIT), Mumbai",Mechanical Engineering,NT,MHT CET,97.98
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics and Telecommunication,OPEN,MHT CET,98.5
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics and Telecommunication,OBC,MHT CET,97.8
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics and Telecommunication,SC,MHT CET,91.5
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics and Telecommunication,ST,MHT CET,65
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics and Telecommunication,NT,MHT CET,96
"Sardar Patel Institute of Technology (SPIT), Mumbai",Civil Engineering,OPEN,MHT CET,95.1
"Sardar Patel Institute of Technology (SPIT), Mumbai",Civil Engineering,OBC,MHT CET,94.1
"Sardar Patel Institute of Technology (SPIT), Mumbai",Civil Engineering,SC,MHT CET,91.25
"Sardar Patel Institute of Technology (SPIT), Mumbai",Civil Engineering,ST,MHT CET,77.55
"Sardar Patel Institute of Technology (SPIT), Mumbai",Civil Engineering,NT,MHT CET,94.8
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics Engineering,OPEN,MHT CET,98.9
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics Engineering,OBC,MHT CET,98.85
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics Engineering,SC,MHT CET,95.5
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics Engineering,ST,MHT CET,81.5
"Sardar Patel Institute of Technology (SPIT), Mumbai",Electronics Engineering,NT,MHT CET,98.4
MIT AOE Pune,Computer Engineering,OPEN,MHT CET,91.89
MIT AOE Pune,Computer Engineering,OBC,MHT CET,90.49
MIT AOE Pune,Computer Engineering,SC,MHT CET,90.49
MIT AOE Pune,Computer Engineering,ST,MHT CET,91.89
MIT AOE Pune,Mechanical Engineering,OPEN,MHT CET,71.98
MIT AOE Pune,Mechanical Engineering,OBC,MHT CET,71.98
MIT AOE Pune,Mechanical Engineering,SC,MHT CET,71.98
MIT AOE Pune,Mechanical Engineering,ST,MHT CET,34.18
MIT AOE Pune,Electronics Engineering,OPEN,MHT CET,81.01
MIT AOE Pune,Electronics Engineering,OBC,MHT CET,81.01
MIT AOE Pune,Electronics Engineering,SC,MHT CET,81.01
MIT AOE Pune,Electronics Engineering,ST,MHT CET,20.32
MIT AOE Pune,Civil Engineering,OPEN,MHT CET,64.48
MIT AOE Pune,Civil Engineering,OBC,MHT CET,64.48
MIT AOE Pune,Civil Engineering,SC,MHT CET,64.48
MIT AOE Pune,Civil Engineering,ST,MHT CET,40.65
"Pune Institute of Computer Technology, Pune",Computer Engineering,General,MHT-CET,99.75
"Pune Institute of Computer Technology, Pune",Computer Engineering,EWS,MHT-CET,99.47
"Pune Institute of Computer Technology, Pune",Computer Engineering,TFWS,MHT-CET,99.56
"Pune Institute of Computer Technology, Pune",Computer Engineering,SC,MHT-CET,97.25
"Pune Institute of Computer Technology, Pune",Computer Engineering,ST,MHT-CET,95.1
"Pune Institute of Computer Technology, Pune",Computer Engineering,OBC,MHT-CET,99.5
"Pune Institute of Computer Technology, Pune",Artificial Intelligence & Data Science,General,MHT-CET,99.56
"Pune Institute of Computer Technology, Pune",Artificial Intelligence & Data Science,EWS,MHT-CET,99.17
"Pune Institute of Computer Technology, Pune",Artificial Intelligence & Data Science,TFWS,MHT-CET,99.49
"Pune Institute of Computer Technology, Pune",Artificial Intelligence & Data Science,OBC,MHT-CET,99.42
"Pune Institute of Computer Technology, Pune",Artificial Intelligence & Data Science,SC,MHT-CET,94.16
"Pune Institute of Computer Technology, Pune",Electronics & Telecommunication,General,MHT-CET,99.24
"Pune Institute of Computer Technology, Pune",Electronics & Telecommunication,EWS,MHT-CET,98.79
"Pune Institute of Computer Technology, Pune",Electronics & Telecommunication,TFWS,MHT-CET,99.1
"Pune Institute of Computer Technology, Pune",Electronics & Telecommunication,OBC,MHT-CET,98.45
"Pune Institute of Computer Technology, Pune",Electronics & Telecommunication,SC,MHT-CET,94.59
"Pune Institute of Computer Technology, Pune",Electronics & Telecommunication,ST,MHT-CET,91.7
"Pune Institute of Computer Technology, Pune",Electronics & Computer Engineering,General,MHT-CET,99.45
"Pune Institute of Computer Technology, Pune",Electronics & Computer Engineering,EWS,MHT-CET,99.08
"Pune Institute of Computer Technology, Pune",Electronics & Computer Engineering,TFWS,MHT-CET,99.33
"Pune Institute of Computer Technology, Pune",Electronics & Computer Engineering,OBC,MHT-CET,99.06
"Pune Institute of Computer Technology, Pune",Electronics & Computer Engineering,SC,MHT-CET,97.25
"Pune Institute of Computer Technology, Pune",Electronics & Computer Engineering,ST,MHT-CET,95.1
"Nagpur Institute of Technology, Nagpur",Computer Science and Engineering,General,MHT-CET,99.5
"Nagpur Institute of Technology, Nagpur",Computer Science and Engineering,OBC,MHT-CET,98.75
"Nagpur Institute of Technology, Nagpur",Computer Science and Engineering,SC,MHT-CET,95.6
"Nagpur Institute of Technology, Nagpur",Computer Science and Engineering,ST,MHT-CET,92.3
"Nagpur Institute of Technology, Nagpur",Information Technology,General,MHT-CET,99.4
"Nagpur Institute of Technology, Nagpur",Information Technology,OBC,MHT-CET,98.6
"Nagpur Institute of Technology, Nagpur",Information Technology,SC,MHT-CET,94.8
"Nagpur Institute of Technology, Nagpur",Information Technology,ST,MHT-CET,91.5
"Nagpur Institute of Technology, Nagpur",Mechanical Engineering,General,MHT-CET,99.2
"Nagpur Institute of Technology, Nagpur",Mechanical Engineering,OBC,MHT-CET,98.4
"Nagpur Institute of Technology, Nagpur",Mechanical Engineering,SC,MHT-CET,93.7
"Nagpur Institute of Technology, Nagpur",Mechanical Engineering,ST,MHT-CET,90.1
"Nagpur Institute of Technology, Nagpur",Civil Engineering,General,MHT-CET,98.9
"Nagpur Institute of Technology, Nagpur",Civil Engineering,OBC,MHT-CET,98.1
"Nagpur Institute of Technology, Nagpur",Civil Engineering,SC,MHT-CET,92.5
"Nagpur Institute of Technology, Nagpur",Civil Engineering,ST,MHT-CET,89.8
"Nagpur Institute of Technology, Nagpur",Electrical Engineering,General,MHT-CET,98.7
"Nagpur Institute of Technology, Nagpur",Electrical Engineering,OBC,MHT-CET,97.9
"Nagpur Institute of Technology, Nagpur",Electrical Engineering,SC,MHT-CET,91.2
"Nagpur Institute of Technology, Nagpur",Electrical Engineering,ST,MHT-CET,88.5
"Nagpur Institute of Technology, Nagpur",Electronics & Telecommunication,General,MHT-CET,98.6
"Nagpur Institute of Technology, Nagpur",Electronics & Telecommunication,OBC,MHT-CET,97.8
"Nagpur Institute of Technology, Nagpur",Electronics & Telecommunication,SC,MHT-CET,90.9
"Nagpur Institute of Technology, Nagpur",Electronics & Telecommunication,ST,MHT-CET,87.7
"Nagpur Institute of Technology, Nagpur",Artificial Intelligence & Data Science,General,MHT-CET,98.5
"Nagpur Institute of Technology, Nagpur",Artificial Intelligence & Data Science,OBC,MHT-CET,97.7
"Nagpur Institute of Technology, Nagpur",Artificial Intelligence & Data Science,SC,MHT-CET,89.8
"Nagpur Institute of Technology, Nagpur",Artificial Intelligence & Data Science,ST,MHT-CET,85.6
